comm,slip,pf,sharpe,win_rate,num_trades,total_return_pct,mdd_total_pct,mdd_capital_at_risk_pct
0.0005,0.0005,0.0,-0.5206818396141725,0.0,3,-0.7855366675999287,0.9935737302282255,42.543696835124024
0.0005,0.001,0.0,-0.5252584859984637,0.0,3,-0.7955274279187852,0.9994234500064758,42.54369683512377
0.0005,0.002,0.0,-0.5342912614762168,0.0,3,-0.8154715159544468,1.011113111553763,42.543696835123654
0.0005,0.003,0.0,-0.5431585933705865,0.0,3,-0.8353658629567495,1.022789781903799,42.54369683512375
0.0005,0.005,0.0,-0.5603760202699474,0.0,3,-0.8750061402038156,1.0461043689754645,42.54369683512365
0.001,0.0005,0.0,-0.5253550101629143,0.0,3,-0.7970348844878905,1.001322966726903,42.54369683512401
0.001,0.001,0.0,-0.5298879034192282,0.0,3,-0.8070229845022814,1.0071714501503015,42.54369683512377
0.001,0.002,0.0,-0.5388312995286259,0.0,3,-0.8269617665051077,1.0188586450791681,42.543696835123654
0.001,0.003,0.0,-0.5476069398857627,0.0,3,-0.8468508268212993,1.0305328568957939,42.54369683512375
0.001,0.005,0.0,-0.5646349589329134,0.0,3,-0.8864805883172511,1.0538425509812877,42.54369683512365
0.002,0.0005,0.0,-0.534550580853018,0.0,3,-0.8200289707777975,1.0168204299492056,42.54369683512401
0.002,0.001,0.0,-0.538994480944773,0.0,3,-0.8300117514574379,1.0226664410083242,42.54369683512377
0.002,0.002,0.0,-0.547756408133304,0.0,3,-0.8499399239355832,1.0343487033895649,42.543696835123654
0.002,0.003,0.0,-0.5563463104629409,0.0,3,-0.8698184134110054,1.046017998826576,42.54369683512375
0.002,0.005,0.0,-0.5729918773350322,0.0,3,-0.9094271484395122,1.069317908308287,42.54369683512365
0.005,0.0005,0.0,-0.5609103419141458,0.0,3,-0.8889924513038827,1.063304741658222,42.543696835124024
0.005,0.001,0.0,-0.5650775569161917,0.0,3,-0.8989592841697758,1.0691433383874238,42.54369683512377
0.005,0.002,0.0,-0.5732777705116577,0.0,3,-0.9188556483977206,1.0808108086395207,42.54369683512369
0.005,0.003,0.0,-0.5812959657419412,0.0,3,-0.9387024455986714,1.0924653604354129,42.54369683512378
0.005,0.005,0.0,-0.5967735932504935,0.0,3,-0.9782481414942312,1.1157359270530853,42.54369683512365
